REPORTING YEAR,FACILITY NAME,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS,GHGRP ID,REPORTED ADDRESS
2020,Hartford Hospital Cogeneration Facility,41.7554,-72.67721,Hartford,HARTFORD COUNTY,CT,6106,DCO ENERGY LLC (50%); SOUTH JERSEY INDUSTRIES INC (50%),48921,C,1010343,19 Jefferson St
2020,Hartford Steam - Columbus Plant,41.76182,-72.67019,Hartford,HARTFORD COUNTY,CT,6103,DCO ENERGY LLC (100%),40881,C,1010109,60 Columbus Blvd
2020,Hartwell Energy Facility,34.3387,-82.8207,HARTWELL,Hart,GA,30643,OGLETHORPE POWER CORP (100%),121932,D,1000085,415 SMITH MCGEE HWY
2020,Hawk Road Energy Facility,33.3577,-84.9912,FRANKLIN,Heard,GA,30217,OGLETHORPE POWER CORP (100%),379289,D,1005921,624 HAWK RD
2020,"Hawkeye Energy Greenport, LLC",41.1056,-72.3767,GREENPORT,Suffolk,NY,11944,HAWKEYE ENERGY GREENPORT LLC (100%),40757,D,1000322,1885 MOORE'S LANE
2020,Hawthorn Generating Station,39.1306,-94.4778,KANSAS CITY,Jackson,MO,64120,EVERGY INC (100%),2054722,"C,D",1000705,8700 E. Front Street
2020,Hay Road,39.7436,-75.5072,WILMINGTON,New Castle,DE,19809,VOLT PARENT LP (100%),773604,D,1001082,198 HAY ROAD
2020,Hayden,40.4856,-107.185,HAYDEN,Routt,CO,81639,XCEL ENERGY INC (52.95%); SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT (29.59%); BERKSHIRE HATHAWAY INC (17.46%),2244671,"C,D",1001466,12795 E YUTE
2020,Haynes Generating Station,33.7639,-118.0942,LONG BEACH,Los Angeles,CA,90803,CITY OF LOS ANGELES (100%),1484937,"C,D",1006097,6801 E 2ND ST
2020,Hays Energy Facility,29.7806,-97.9894,SAN MARCOS,Hays,TX,78666,Vistra Corp (100%),986097,"C,D",1001335,1601 FRANCIS HARRIS LN
2020,"Helix Ironwood, LLC",40.3509,-76.3658,LEBANON,Lebanon,PA,17042,LS POWER EQUITY PARTNERS LP (100%),1937716,"C,D",1007058,305 PRESCOTT ROAD
2020,Hell Gate,40.7988,-73.9093,BRONX,Bronx,NY,10454,NEW YORK POWER AUTHORITY (100%),36399,"C,D",1005913,910 E 134TH ST LOCUST AVE
2020,Henrietta Peaker Plant,36.2397,-119.9044,LEMOORE,Kings,CA,93245,MIDDLE RIVER POWER LLC (100%),17717,D,1000283,16027 25TH AVE
2020,Henry County Generating Station,39.9528,-85.5039,NEW CASTLE,Henry,IN,47362,DUKE ENERGY CORP (100%),157550,D,1001145,6045 WEST SR 38
2020,"Hermiston Power, LLC",45.7934,-119.313,HERMISTON,Umatilla,OR,97838,VOLT PARENT LP (100%),1562465,D,1000788,78910 SIMPLOT ROAD
2020,Hersey Power Plant,43.836848,-85.42409,Hersey,OSCEOLA COUNTY,MI,49639,WOLVERINE POWER SUPPLY COOPERATIVE INC (100%),12660,C,1012840,1529 South 170th Avenue
2020,Hibbard Energy Center,46.7356,-92.1531,DULUTH,St. Louis,MN,55807,ALLETE INC (100%),13759,D,1000688,4913 MAIN ST
2020,Hickory Run Energy Station,40.99311,-80.4371,New Castle,LAWRENCE COUNTY,PA,16102,HICKORY RUN ENERGY LLC (100%),1588060,"C,D",1013542,4900 Edinburg Rd
2020,High Bridge,44.9331,-93.1075,SAINT PAUL,Ramsey,MN,55102,XCEL ENERGY INC (100%),1095296,"C,D",1000690,155 Randolph Road
2020,High Desert Power Project,34.5953,-117.3647,VICTORVILLE,San Bernardino,CA,92394,MIDDLE RIVER POWER LLC (100%),1277972,"C,D",1000070,19000 PERIMETER RD/STE 102
2020,Hillabee Energy Center,33,-85.9031,ALEXANDER CITY,Tallapoosa,AL,35010,EXELON CORP (100%),1987616,"C,D",1000813,152 BRICK PLANT ROAD
2020,Hillburn Gas Turbine,41.1269,-74.1653,Hillburn,ROCKLAND COUNTY,NY,10931,ALLIANCE ENERGY GROUP LLC (100%),207,D,1007157,6 4th street
2020,Hinds Energy Facility,32.3781,-90.2169,JACKSON,Hinds,MS,39213,ENTERGY CORP (100%),1131494,"C,D",1001367,3889 BEASLEY ROAD
2020,Hines Energy Complex,27.7886,-81.8694,BARTOW,Polk,FL,33830,DUKE ENERGY CORP (100%),4450689,D,1001112,7700 COUNTY ROAD 555
2020,Hobbs Generating Station,32.7282,-103.3095,HOBBS,Lea,NM,88240,LEA POWER PARTNERS LLC (100%),1834009,"C,D",1007328,98 N. TWOMBLY LANE
2020,Hog Bayou Energy Center,30.7478,-88.0575,MOBILE,Mobile,AL,36610,"LS Power Development, LLC (100%)",682093,D,1000398,1003 PAPER MILL RD
2020,Holcomb,37.9306,-100.9725,HOLCOMB,Finney,KS,67851,SUNFLOWER ELECTRIC POWER CORP (100%),1452320,"C,D",1001420,2440 HOLCOMB LANE
2020,Holden Power Plant,38.7538,-93.9983,HOLDEN,Johnson,MO,64040,ASSOCIATED ELECTRIC COOPERATIVE INC (100%),149809,"C,D",1007746,100 SW ROUTE 131
2020,Holland Energy Facility,39.2242,-88.7594,BEECHER CITY,Shelby,IL,62414,HOOSIER ENERGY REC INC (50%); WABASH VALLEY POWER ASSOC (50%),914049,"C,D",1000792,2061 East 000 North Road
2020,Holland Energy Park,42.7381514,-86.0733498,Holland,,MI,49423,CITY OF HOLLAND (100%),329175,"C,D",1013054,1 Energy Park Way
2020,Holtsville Facility,40.8153,-73.0664,HOLTSVILLE,Suffolk,NY,11742,NATIONAL GRID USA (100%),51706,"C,D",1001183,MORRIS AVE
2020,Homer City,40.511,-79.1968,HOMER CITY,Indiana,PA,15748,EFS-N LLC (100%),3169142,"C,D",1006728,1750 POWER PLANT ROAD
